Generation,Fitness,Amygdala,Striatum,Hippocampus
1,104.39,0.154,1.664,0.293
1,104.20,0.154,1.664,0.293
1,910.02,0.154,1.664,0.293
1,900.37,0.154,1.664,0.293
1,902.61,0.154,1.664,0.293
2,1004.72,0.157,1.634,0.240
2,1305.10,0.157,1.634,0.240
2,1504.94,0.157,1.634,0.240
2,1504.19,0.157,1.634,0.240
2,1504.19,0.157,1.634,0.240
3,1607.88,0.227,1.817,0.126
3,1704.55,0.227,1.817,0.126
3,1909.79,0.227,1.817,0.126
3,2004.95,0.227,1.817,0.126
3,2104.17,0.227,1.817,0.126
4,2204.45,0.193,2.264,0.143
4,2204.23,0.193,2.264,0.143
